Symbol,Amount,Price,Worth
ARPA,59412901.56,0.047395235,2815888.421
CLV,56257937.01,0.0498,2801645.263
C98,20000000,0.13701899,2740379.808
OAX,18377764.25,0.1453,2670289.145
BEL,4185241.769,0.637981486,2670106.763
WXRP,4400000,0.591898803,2604354.734
RDNT,31567458,0.081921224,2586044.788
SHIB,1.4E+11,1.84E-05,2576675.074
BIDR,40255340832,6.26E-05,2519107.687
TOKEN,39640360,0.062068928,2460434.653
RDNT,29790721.39,0.082151076,2447339.816
GNS,1000000,2.418213639,2418213.639
PENDLE,501758.664,4.536769055,2276363.18
QKC,229016884.4,0.00940441,2153768.627
SHIB,3.11E+13,6.92E-08,2152855.665
SYN,4260660,0.498253066,2122886.907
STG,6000000,0.3491,2094600
ONT,9917356.534,0.205244397,2035481.865
EGLD,63977.277,29.49000808,1886690.416
USDC,1861550.1,1,1861550.1
LOOM,31426153.24,0.056445552,1773866.562
AVA,3207342.134,0.537793898,1724889.028
ATA,18000000,0.094204269,1695676.835
IOST,292794346.7,0.00573,1677711.606
XTZ,2300000,0.728288865,1675064.39
COMP,33386.477,49.06980372,1638267.873
AXS,300000,5.22540373,1567621.119
Auction,100000,15.5,1550000
IHC,59678866077,2.59E-05,1547313.612
KSM,67137.593,22.02,1478369.798
ZRO,293170.536,5.021417122,1472131.549
JASMY,10783720045,0.00013232,1426906.652
CREAM,74965.823,18.51840765,1388247.67
BAT,6834562.31,0.193487116,1322399.751
BOND,765675.143,1.690054961,1294033.074
HARD,9791147.595,0.129453927,1267502.505
VANRY,11675577,0.1082,1263297.431
AXL,1756303,0.7033,1235207.9
ZEC,40406.337,30.25566511,1222520.601
TUSD,376879726.3,0.003162005,1191695.688
TRIBE,3000000,0.394995858,1184987.575
ABSHIBA.com,8239291,0.143433623,1181791.362
PROS,3500000,0.334266512,1169932.792
NEAR,200000,5.567650706,1113530.141
DNT,28000000,0.037077837,1038179.438
JOE,2627966,0.392878759,1032472.021
SOLO,12067921.72,0.084517349,1019948.747
STG,2913487,0.3491,1017098.312
SUSHI,1273253.059,0.740706021,943106.2066
POND,70745580.27,0.01296,916862.7203
LINK,50000000,0.018297544,914877.1926
SLP,325876290.2,0.002807,914734.7465
UNFI,330015.73,2.742875312,905191.9984
TORN,347890.992,2.58172034,898157.2501
AVAX,30000,29.02794546,870838.3639
OMG,3000000,0.288772948,866318.8452
